编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
9980,高新区万象南路199号,9,4|2,2,31,2015,189.68,-1,5,1,1,41385.5,2019,12,2,785.0,30.746126110373726,103.93541378871336
9981,高新区中和会龙路365号,9,2|1,1,33,2013,61.27,8,14,1,0,20401.5,2019,12,1,125.0,30.746126110373726,103.93541378871336
9982,高新区剑南大道中段锦城南府,9,2|1,2,27,2015,96.93,1,24,1,1,24553.8,2019,12,1,238.0,30.746126110373726,103.93541378871336
9983,-1,9,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
9984,高新区锦晖西二街77号,9,4|1,1,30,2014,181.49,6,16,1,0,38569.6,2019,12,1,700.0,30.746126110373726,103.93541378871336
9985,高新区公济桥路117号,9,2|1,1,32,2011,74.83,4,6,1,0,18441.8,2019,12,1,138.0,30.746126110373726,103.93541378871336
9986,高新区泰和二街333号,9,2|2,2,18,2009,82.0,1,6,1,0,23170.7,2019,12,1,190.0,30.746126110373726,103.93541378871336
9987,高新区天府三街218号,9,2|2,2,27,2013,77.56,-1,10,1,1,21660.6,2019,12,1,168.0,30.746126110373726,103.93541378871336
9988,高新区天府大道南段会龙大道内,9,3|2,2,33,2016,86.62,1,43,1,0,20203.2,2019,11,30,175.0,30.746126110373726,103.93541378871336
9989,高新区中和大道一段99号,9,4|2,3,32,2009,143.43,5,38,1,0,16593.5,2019,11,30,238.0,30.746126110373726,103.93541378871336
9990,高新区世纪城路418号,9,4|1,1,49,2017,182.59,5,14,1,0,26288.4,2019,12,1,480.0,30.746126110373726,103.93541378871336
9991,高新区新光路8号,9,4|2,2,11,2001,182.18,3,20,1,0,17016.1,2019,12,1,310.0,30.746126110373726,103.93541378871336
9992,高新区二环路南四段8号,9,2|1,3,7,1996,67.68,3,50,1,1,12706.9,2019,12,1,86.0,39.631042853572275,118.16060668861536
9993,高新区科华南路316号,9,3|2,3,32,2012,127.03,2,7,1,0,23301.6,2019,12,1,296.0,30.746126110373726,103.93541378871336
9994,高新区神仙树北路11号,9,2|1,2,7,2005,79.48,5,12,1,0,12078.5,2019,12,1,96.0,30.746126110373726,103.93541378871336
9995,高新区紫荆东路55号,9,3|1,1,11,2003,130.88,5,18,1,1,20247.6,2019,12,1,265.0,30.746126110373726,103.93541378871336
9996,高新区超洋路１号,9,1|1,2,11,2004,62.53,8,34,1,1,13913.3,2019,12,1,87.0,30.746126110373726,103.93541378871336
9997,高新区肖家河东三巷5号,9,2|1,2,6,1998,60.44,5,2,1,1,13070.8,2019,12,1,79.0,30.746126110373726,103.93541378871336
9998,高新区天府大道鸟巢旁,9,2|1,1,38,2015,86.9,5,19,1,1,27387.8,2019,12,1,238.0,30.746126110373726,103.93541378871336
9999,高新区中和二街66号,9,2|1,2,26,2013,83.27,7,13,1,0,16932.9,2019,12,1,141.0,30.746126110373726,103.93541378871336
10000,高新区中和二街66号,9,3|1,2,26,2013,118.38,5,6,1,0,18161.9,2019,11,29,215.0,30.746126110373726,103.93541378871336
10001,高新区天府大道旁老成仁路77号,9,3|2,3,31,2014,135.98,1,12,1,0,18973.4,2019,11,29,258.0,30.746126110373726,103.93541378871336
10002,高新区新程大道119号,9,3|2,2,33,2017,90.82,6,19,1,1,26315.8,2019,11,29,239.0,30.746126110373726,103.93541378871336
10003,高新区天府二街138号,9,3|2,2,39,2012,115.94,1,36,1,1,18630.3,2019,11,29,216.0,30.746126110373726,103.93541378871336
10004,高新区盛邦街899号,9,2|2,1,29,2014,72.16,7,87,1,0,22172.9,2019,11,29,160.0,30.746126110373726,103.93541378871336
10005,高新区天府大道鸟巢旁,9,2|2,2,38,2015,87.02,5,1,1,1,27694.8,2019,11,29,241.0,30.746126110373726,103.93541378871336
10006,高新区紫薇东路1号,9,3|2,2,7,2000,134.45,5,13,1,0,13016.0,2019,11,29,175.0,30.746126110373726,103.93541378871336
10007,高新区天府大道中段1388号,9,3|2,3,31,2012,86.2,5,11,1,1,25730.9,2019,11,29,221.8,30.746126110373726,103.93541378871336
10008,高新区天府大道南段1167号,9,2|1,1,34,2011,77.91,1,140,1,1,16942.6,2019,11,30,132.0,30.746126110373726,103.93541378871336
10009,高新区交子大道333号,9,1|1,1,32,2017,77.9,7,1,0,0,17971.8,2019,11,30,140.0,30.746126110373726,103.93541378871336
10010,高新区德赛二街88号,9,2|1,2,31,2012,94.79,7,7,1,1,35130.3,2019,11,30,333.0,30.746126110373726,103.93541378871336
10011,高新区石羊场路555号,9,3|2,1,22,2017,94.51,1,16,1,1,31742.7,2019,11,29,300.0,30.746126110373726,103.93541378871336
10012,-1,9,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
10013,高新区天府一街1339号,9,3|2,1,21,2016,95.58,7,12,1,1,31387.3,2019,11,29,300.0,30.746126110373726,103.93541378871336
10014,高新区永丰路24号附1号,9,2|1,1,15,2005,87.54,5,4,1,1,17477.7,2019,11,29,153.0,30.746126110373726,103.93541378871336
10015,高新区天府大道鸟巢旁,9,2|2,3,38,2015,90.94,5,64,1,1,25291.4,2019,11,29,230.0,30.746126110373726,103.93541378871336
10016,高新区锦晖西二街288号,9,2|2,2,32,2014,106.22,3,14,1,0,34645.1,2019,12,1,368.0,30.746126110373726,103.93541378871336
10017,高新区濯锦路28号,9,6|2,3,30,2011,274.21,4,20,1,0,36395.5,2019,12,1,998.0,30.746126110373726,103.93541378871336
10018,高新区濯锦路28号,9,4|2,1,33,2011,114.0,5,105,1,0,30000.0,2019,11,30,342.0,30.746126110373726,103.93541378871336
10019,高新区天府大道南段极地海洋世界北侧,9,2|1,2,32,2015,82.0,5,3,0,1,14390.2,2019,11,30,118.0,30.746126110373726,103.93541378871336
10020,高新区雍翠路211号,9,2|1,2,16,2009,92.56,5,46,1,0,22147.8,2019,11,30,205.0,30.746126110373726,103.93541378871336
10021,高新区盛邦街333号,9,4|2,2,24,2009,142.78,3,169,1,1,23812.9,2019,11,30,340.0,30.746126110373726,103.93541378871336
10022,高新区金桂路238号,9,3|2,3,32,2009,135.71,4,80,1,1,20263.8,2019,11,30,275.0,30.746126110373726,103.93541378871336
10023,高新区府城大道中段188号,9,4|2,2,20,2012,179.28,6,11,1,1,25100.4,2019,11,30,450.0,30.746126110373726,103.93541378871336
10024,高新区交子大道北一段88号,9,2|1,1,31,2015,118.98,5,6,1,1,21011.9,2019,11,30,250.0,30.746126110373726,103.93541378871336
10025,高新区梓州大道5500号,9,3|2,1,33,2015,93.73,6,8,1,0,25605.5,2019,11,30,240.0,30.746126110373726,103.93541378871336
10026,成华区湖景四路2号,2,3|2,2,35,2018,83.0,8,20,1,0,15662.7,2020,2,24,130.0,30.665589283983017,104.10859155035178
10027,成华区圣灯路88号,2,3|2,3,33,2008,88.7,7,91,1,0,15219.8,2019,10,14,135.0,30.678602595038324,104.12969731915621
10028,成华区双成二路39号,2,3|2,3,32,2009,124.83,5,41,1,1,22350.4,2018,11,22,279.0,30.655281875161673,104.12730200009013
